run_label,method,method_label,num_prompts,min_certified_fraction,mean_certified_fraction,final_budget,final_certified_fraction
1B full H=15 top3,aggregate_tpa_final_tool_validity,Aggregate TPA final-tool validity,104,0.6346153846153846,0.924388111888112,249,0.6346153846153846
1B full H=15 top3,dpa_final_tool_stability,DPA final-tool stability,104,0.6346153846153846,0.924388111888112,249,0.6346153846153846
1B full H=15 top3,joint_row_column_stability_milp,Joint row-column stability MILP,104,0.3365384615384615,0.861451048951049,249,0.3365384615384615
1B full H=15 top3,joint_row_column_validity_milp,Joint row-column validity MILP,104,0.6346153846153846,0.930506993006993,249,0.6346153846153846
