budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt,plot_fraction,certified_percent,run_label,run_name,num_retained_prompts,num_total_rows_read,num_rows_filtered_shorter_than_horizon,padding_policy,horizon_filter_basis,family,method_label
0,aggregate_tpa_final_tool_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
0,dpa_final_tool_stability,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,901.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0747691580036189,3.0,2.0,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0742814120021648,3.0,2.0,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
1,aggregate_tpa_final_tool_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
1,dpa_final_tool_stability,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,901.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.5631705929990858,3.0,2.0,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3833469529927242,3.0,2.0,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
2,aggregate_tpa_final_tool_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
2,dpa_final_tool_stability,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
2,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,901.0,1.0,76.0,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,1.846148822005489,3.0,2.0,0.987012987012987,98.7012987012987,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
2,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3707798800023738,3.0,2.0,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
3,aggregate_tpa_final_tool_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
3,dpa_final_tool_stability,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,901.0,1.0,76.0,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,2.11693762500363,3.0,2.0,0.987012987012987,98.7012987012987,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4061299909953959,3.0,2.0,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
4,aggregate_tpa_final_tool_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
4,dpa_final_tool_stability,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
4,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,901.0,2.0,75.0,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,2.2402622579975286,3.0,2.0,0.974025974025974,97.40259740259741,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
4,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3936218040034873,3.0,2.0,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
5,aggregate_tpa_final_tool_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
5,dpa_final_tool_stability,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,901.0,2.0,75.0,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,2.047562023013598,3.0,2.0,0.974025974025974,97.40259740259741,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.391887763995328,3.0,2.0,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
7,aggregate_tpa_final_tool_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
7,dpa_final_tool_stability,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3,1b_full_final_tool_baselines_top3,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
