budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_max_target_token_validity,10,10,1.0
1,dpa_max_target_token_validity,10,10,1.0
3,dpa_max_target_token_validity,10,10,1.0
5,dpa_max_target_token_validity,10,10,1.0
7,dpa_max_target_token_validity,10,10,1.0
9,dpa_max_target_token_validity,10,10,1.0
