budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_weakest_token_stability,23,23,1.0
1,dpa_weakest_token_stability,23,23,1.0
3,dpa_weakest_token_stability,23,21,0.9130434782608695
5,dpa_weakest_token_stability,23,20,0.8695652173913043
7,dpa_weakest_token_stability,23,20,0.8695652173913043
9,dpa_weakest_token_stability,23,19,0.8260869565217391
25,dpa_weakest_token_stability,23,18,0.782608695652174
50,dpa_weakest_token_stability,23,18,0.782608695652174
100,dpa_weakest_token_stability,23,18,0.782608695652174
150,dpa_weakest_token_stability,23,16,0.6956521739130435
200,dpa_weakest_token_stability,23,15,0.6521739130434783
249,dpa_weakest_token_stability,23,2,0.08695652173913043
