budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_weakest_token_stability,104,104,1.0
1,dpa_weakest_token_stability,104,104,1.0
3,dpa_weakest_token_stability,104,103,0.9903846153846154
5,dpa_weakest_token_stability,104,102,0.9807692307692307
7,dpa_weakest_token_stability,104,102,0.9807692307692307
9,dpa_weakest_token_stability,104,102,0.9807692307692307
25,dpa_weakest_token_stability,104,96,0.9230769230769231
50,dpa_weakest_token_stability,104,95,0.9134615384615384
100,dpa_weakest_token_stability,104,83,0.7980769230769231
150,dpa_weakest_token_stability,104,78,0.75
200,dpa_weakest_token_stability,104,67,0.6442307692307693
249,dpa_weakest_token_stability,104,35,0.33653846153846156
