budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_max_target_token_validity,104,104,1.0
1,dpa_max_target_token_validity,104,104,1.0
3,dpa_max_target_token_validity,104,104,1.0
5,dpa_max_target_token_validity,104,104,1.0
7,dpa_max_target_token_validity,104,104,1.0
9,dpa_max_target_token_validity,104,103,0.9903846153846154
25,dpa_max_target_token_validity,104,102,0.9807692307692307
50,dpa_max_target_token_validity,104,101,0.9711538461538461
100,dpa_max_target_token_validity,104,94,0.9038461538461539
150,dpa_max_target_token_validity,104,88,0.8461538461538461
200,dpa_max_target_token_validity,104,83,0.7980769230769231
249,dpa_max_target_token_validity,104,66,0.6346153846153846
