budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_final_tool_stability,104,104,1.0
1,dpa_final_tool_stability,104,104,1.0
2,dpa_final_tool_stability,104,104,1.0
3,dpa_final_tool_stability,104,104,1.0
4,dpa_final_tool_stability,104,104,1.0
5,dpa_final_tool_stability,104,104,1.0
7,dpa_final_tool_stability,104,103,0.9903846153846154
9,dpa_final_tool_stability,104,103,0.9903846153846154
12,dpa_final_tool_stability,104,103,0.9903846153846154
15,dpa_final_tool_stability,104,102,0.9807692307692307
20,dpa_final_tool_stability,104,101,0.9711538461538461
25,dpa_final_tool_stability,104,101,0.9711538461538461
35,dpa_final_tool_stability,104,100,0.9615384615384616
50,dpa_final_tool_stability,104,99,0.9519230769230769
75,dpa_final_tool_stability,104,96,0.9230769230769231
100,dpa_final_tool_stability,104,91,0.875
125,dpa_final_tool_stability,104,90,0.8653846153846154
150,dpa_final_tool_stability,104,88,0.8461538461538461
175,dpa_final_tool_stability,104,86,0.8269230769230769
200,dpa_final_tool_stability,104,82,0.7884615384615384
225,dpa_final_tool_stability,104,80,0.7692307692307693
249,dpa_final_tool_stability,104,66,0.6346153846153846
