budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
0,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.038287253002636135,1,2
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.07733353499497753,1,2
1,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
1,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.29650184299680404,1,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3753791659983108,1,2
2,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
2,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
2,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,1.3435786429909058,1,2
2,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3623094240028877,1,2
3,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
3,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,1.116322759000468,1,2
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.39551932898757514,1,2
4,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
4,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
4,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.1954660180053907,1,2
4,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.38704038099967875,1,2
5,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
5,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.2471053810004378,1,2
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3997142529988196,1,2
7,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
7,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
7,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.3049274680088274,1,2
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40406847299891524,1,2
9,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
9,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
9,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,3,74,0.961038961038961,gurobi,OPTIMAL,3.0,3.0,0.0,1.3454525819979608,1,2
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40416842300328426,1,2
12,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
12,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
12,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,4,73,0.948051948051948,gurobi,OPTIMAL,4.0,4.0,0.0,1.4535342090093764,1,2
12,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4028145670017693,1,2
15,aggregate_tpa_final_tool_validity,radius_derived,77,76,0.987012987012987,,,,,,,,,,,,,,
15,dpa_final_tool_stability,radius_derived,77,76,0.987012987012987,,,,,,,,,,,,,,
15,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,5,72,0.935064935064935,gurobi,OPTIMAL,5.0,5.0,0.0,1.4837462519935798,1,2
15,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4109940310008824,1,2
20,aggregate_tpa_final_tool_validity,radius_derived,77,75,0.974025974025974,,,,,,,,,,,,,,
20,dpa_final_tool_stability,radius_derived,77,75,0.974025974025974,,,,,,,,,,,,,,
20,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,8,69,0.8961038961038961,gurobi,OPTIMAL,8.0,8.0,0.0,1.9939761749992613,1,2
20,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40869756300526205,1,2
25,aggregate_tpa_final_tool_validity,radius_derived,77,75,0.974025974025974,,,,,,,,,,,,,,
25,dpa_final_tool_stability,radius_derived,77,75,0.974025974025974,,,,,,,,,,,,,,
25,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,10,67,0.8701298701298701,gurobi,OPTIMAL,10.0,10.0,0.0,1.482028985992656,1,2
25,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,0.4092409909935668,1,2
35,aggregate_tpa_final_tool_validity,radius_derived,77,74,0.961038961038961,,,,,,,,,,,,,,
35,dpa_final_tool_stability,radius_derived,77,74,0.961038961038961,,,,,,,,,,,,,,
35,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,12,65,0.8441558441558441,gurobi,OPTIMAL,12.0,12.0,0.0,1.534169986989582,1,2
35,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,0.40602874099568,1,2
50,aggregate_tpa_final_tool_validity,radius_derived,77,73,0.948051948051948,,,,,,,,,,,,,,
50,dpa_final_tool_stability,radius_derived,77,73,0.948051948051948,,,,,,,,,,,,,,
50,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,16,61,0.7922077922077922,gurobi,OPTIMAL,16.0,16.0,0.0,1.455672089010477,1,2
50,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,0.40394694200949743,1,2
75,aggregate_tpa_final_tool_validity,radius_derived,77,70,0.9090909090909091,,,,,,,,,,,,,,
75,dpa_final_tool_stability,radius_derived,77,70,0.9090909090909091,,,,,,,,,,,,,,
