budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.038287253002636135,1,2
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.29650184299680404,1,2
2,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,1.3435786429909058,1,2
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,1.116322759000468,1,2
4,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.1954660180053907,1,2
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.2471053810004378,1,2
7,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.3049274680088274,1,2
9,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,3,74,0.961038961038961,gurobi,OPTIMAL,3.0,3.0,0.0,1.3454525819979608,1,2
12,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,4,73,0.948051948051948,gurobi,OPTIMAL,4.0,4.0,0.0,1.4535342090093764,1,2
15,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,5,72,0.935064935064935,gurobi,OPTIMAL,5.0,5.0,0.0,1.4837462519935798,1,2
20,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,8,69,0.8961038961038961,gurobi,OPTIMAL,8.0,8.0,0.0,1.9939761749992613,1,2
25,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,10,67,0.8701298701298701,gurobi,OPTIMAL,10.0,10.0,0.0,1.482028985992656,1,2
35,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,12,65,0.8441558441558441,gurobi,OPTIMAL,12.0,12.0,0.0,1.534169986989582,1,2
50,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,16,61,0.7922077922077922,gurobi,OPTIMAL,16.0,16.0,0.0,1.455672089010477,1,2
75,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,20,57,0.7402597402597403,gurobi,OPTIMAL,20.0,20.0,0.0,1.561466412997106,1,2
100,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,21,56,0.7272727272727273,gurobi,OPTIMAL,21.0,21.0,0.0,1.3420270609931322,1,2
125,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,23,54,0.7012987012987013,gurobi,OPTIMAL,23.0,23.0,0.0,1.4242450849997113,1,2
150,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,27,50,0.6493506493506493,gurobi,OPTIMAL,27.0,27.0,0.0,1.7135851390048629,1,2
175,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,33,44,0.5714285714285714,gurobi,OPTIMAL,33.0,33.0,0.0,1.611537631993997,1,2
200,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,41,36,0.4675324675324675,gurobi,OPTIMAL,41.0,41.0,0.0,1.4701683820021572,1,2
225,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,52,25,0.3246753246753247,gurobi,OPTIMAL,52.0,52.0,0.0,1.4880615229922114,1,2
249,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,66,11,0.14285714285714285,gurobi,OPTIMAL,66.0,66.0,0.0,0.7178925850021187,1,2
