budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_final_tool_stability,23,23,1.0
1,dpa_final_tool_stability,23,23,1.0
2,dpa_final_tool_stability,23,23,1.0
3,dpa_final_tool_stability,23,23,1.0
4,dpa_final_tool_stability,23,23,1.0
5,dpa_final_tool_stability,23,23,1.0
7,dpa_final_tool_stability,23,23,1.0
9,dpa_final_tool_stability,23,23,1.0
12,dpa_final_tool_stability,23,23,1.0
15,dpa_final_tool_stability,23,23,1.0
20,dpa_final_tool_stability,23,23,1.0
25,dpa_final_tool_stability,23,23,1.0
35,dpa_final_tool_stability,23,23,1.0
50,dpa_final_tool_stability,23,23,1.0
75,dpa_final_tool_stability,23,23,1.0
100,dpa_final_tool_stability,23,23,1.0
125,dpa_final_tool_stability,23,23,1.0
150,dpa_final_tool_stability,23,23,1.0
175,dpa_final_tool_stability,23,23,1.0
200,dpa_final_tool_stability,23,22,0.9565217391304348
225,dpa_final_tool_stability,23,22,0.9565217391304348
249,dpa_final_tool_stability,23,19,0.8260869565217391
