budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,aggregate_tpa_final_tool_validity,radius_derived,23,23,1.0,,,,,,,,,,,,,,
0,dpa_final_tool_stability,radius_derived,23,23,1.0,,,,,,,,,,,,,,
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,23,,,30,500,553,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.04763936100061983,3,2
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,,,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.02621700799500104,3,2
1,aggregate_tpa_final_tool_validity,radius_derived,23,23,1.0,,,,,,,,,,,,,,
1,dpa_final_tool_stability,radius_derived,23,23,1.0,,,,,,,,,,,,,,
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,23,,,30,500,553,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.16029665799578652,3,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,,,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05905863699445035,3,2
2,aggregate_tpa_final_tool_validity,radius_derived,23,23,1.0,,,,,,,,,,,,,,
2,dpa_final_tool_stability,radius_derived,23,23,1.0,,,,,,,,,,,,,,
2,joint_row_column_stability_milp,fixed_budget_adversarial_success,23,,,30,500,553,1,22,0.9565217391304348,gurobi,OPTIMAL,1.0,1.0,0.0,0.09842602600110695,3,2
2,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,,,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05672796799626667,3,2
3,aggregate_tpa_final_tool_validity,radius_derived,23,23,1.0,,,,,,,,,,,,,,
3,dpa_final_tool_stability,radius_derived,23,23,1.0,,,,,,,,,,,,,,
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,23,,,30,500,553,2,21,0.9130434782608695,gurobi,OPTIMAL,2.0,2.0,0.0,0.09539807999681216,3,2
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,,,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05658281200157944,3,2
4,aggregate_tpa_final_tool_validity,radius_derived,23,23,1.0,,,,,,,,,,,,,,
4,dpa_final_tool_stability,radius_derived,23,23,1.0,,,,,,,,,,,,,,
4,joint_row_column_stability_milp,fixed_budget_adversarial_success,23,,,30,500,553,2,21,0.9130434782608695,gurobi,OPTIMAL,2.0,2.0,0.0,0.11429639600100927,3,2
4,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,,,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.055450255997129716,3,2
5,aggregate_tpa_final_tool_validity,radius_derived,23,23,1.0,,,,,,,,,,,,,,
5,dpa_final_tool_stability,radius_derived,23,23,1.0,,,,,,,,,,,,,,
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,23,,,30,500,553,3,20,0.8695652173913043,gurobi,OPTIMAL,3.0,3.0,0.0,0.37287304300116375,3,2
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,,,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.053577668993966654,3,2
7,aggregate_tpa_final_tool_validity,radius_derived,23,23,1.0,,,,,,,,,,,,,,
