budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.025935628000297584,3,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05923522099328693,3,2
2,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0586508410051465,3,2
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.058626795987947844,3,2
4,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.056370138001511805,3,2
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05306049399951007,3,2
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.053184247997705825,3,2
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05334771200432442,3,2
12,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.053577824000967667,3,2
15,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.056531798996729776,3,2
20,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.053526318006333895,3,2
25,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05418360501062125,3,2
35,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05281828400620725,3,2
50,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05276476399740204,3,2
75,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05469918299058918,3,2
100,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05474760399374645,3,2
125,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05241155900876038,3,2
150,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.059838970002601855,3,2
175,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05823292999411933,3,2
200,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.06508076799218543,3,2
225,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,1,22,0.9565217391304348,gurobi,OPTIMAL,1.0,1.0,0.0,0.05856188900361303,3,2
249,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,4,19,0.8260869565217391,gurobi,OPTIMAL,4.0,4.0,0.0,0.06420500599779189,3,2
300,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,4,19,0.8260869565217391,gurobi,OPTIMAL,4.0,4.0,0.0,0.06482953399245162,3,2
350,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,4,19,0.8260869565217391,gurobi,OPTIMAL,4.0,4.0,0.0,0.058395551997818984,3,2
400,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,4,19,0.8260869565217391,gurobi,OPTIMAL,4.0,4.0,0.0,0.05338524800026789,3,2
450,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,4,19,0.8260869565217391,gurobi,OPTIMAL,4.0,4.0,0.0,0.05259919899981469,3,2
500,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,4,19,0.8260869565217391,gurobi,OPTIMAL,4.0,4.0,0.0,0.022096436005085707,3,2
