budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
25,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,,,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.02038472799176816,3,2
25,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,,,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.009845673004747368,3,2
35,aggregate_tpa_final_tool_validity,radius_derived,3,3,1.0,,,,,,,,,,,,,,
35,dpa_final_tool_stability,radius_derived,3,3,1.0,,,,,,,,,,,,,,
35,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,,,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.02220770101121161,3,2
35,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,,,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012349028998869471,3,2
50,aggregate_tpa_final_tool_validity,radius_derived,3,3,1.0,,,,,,,,,,,,,,
50,dpa_final_tool_stability,radius_derived,3,3,1.0,,,,,,,,,,,,,,
50,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,,,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.022010448010405526,3,2
50,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,,,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012487956002587453,3,2
75,aggregate_tpa_final_tool_validity,radius_derived,3,3,1.0,,,,,,,,,,,,,,
75,dpa_final_tool_stability,radius_derived,3,3,1.0,,,,,,,,,,,,,,
75,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,,,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.10931686501135118,3,2
75,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,,,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.011761394009226933,3,2
100,aggregate_tpa_final_tool_validity,radius_derived,3,3,1.0,,,,,,,,,,,,,,
100,dpa_final_tool_stability,radius_derived,3,3,1.0,,,,,,,,,,,,,,
100,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,,,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.1056440179963829,3,2
100,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,,,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.010284176009008661,3,2
125,aggregate_tpa_final_tool_validity,radius_derived,3,2,0.6666666666666666,,,,,,,,,,,,,,
125,dpa_final_tool_stability,radius_derived,3,2,0.6666666666666666,,,,,,,,,,,,,,
125,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,,,20,500,127,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.11686539900256321,3,2
125,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,,,20,500,27,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.01063784200232476,3,2
150,aggregate_tpa_final_tool_validity,radius_derived,3,2,0.6666666666666666,,,,,,,,,,,,,,
150,dpa_final_tool_stability,radius_derived,3,2,0.6666666666666666,,,,,,,,,,,,,,
150,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,,,20,500,127,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.10815248198923655,3,2
150,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,,,20,500,27,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.010855365995666943,3,2
175,aggregate_tpa_final_tool_validity,radius_derived,3,2,0.6666666666666666,,,,,,,,,,,,,,
175,dpa_final_tool_stability,radius_derived,3,2,0.6666666666666666,,,,,,,,,,,,,,
175,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,,,20,500,127,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.09548878500936553,3,2
175,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,,,20,500,27,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.010306458992999978,3,2
200,aggregate_tpa_final_tool_validity,radius_derived,3,1,0.3333333333333333,,,,,,,,,,,,,,
200,dpa_final_tool_stability,radius_derived,3,1,0.3333333333333333,,,,,,,,,,,,,,
200,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,,,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.0728000980016077,3,2
200,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,,,20,500,27,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.01132484499248676,3,2
225,aggregate_tpa_final_tool_validity,radius_derived,3,1,0.3333333333333333,,,,,,,,,,,,,,
225,dpa_final_tool_stability,radius_derived,3,1,0.3333333333333333,,,,,,,,,,,,,,
225,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,,,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.07298540299234446,3,2
225,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,,,20,500,27,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.011215001009986736,3,2
249,aggregate_tpa_final_tool_validity,radius_derived,3,0,0.0,,,,,,,,,,,,,,
249,dpa_final_tool_stability,radius_derived,3,0,0.0,,,,,,,,,,,,,,
249,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,,,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.059232975996565074,3,2
249,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,,,20,500,27,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.014960004002205096,3,2
