budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
175,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,10,67,0.8701298701298701,gurobi,OPTIMAL,10.0,10.0,0.0,0.4482694990001619,1,2
200,aggregate_tpa_final_tool_validity,radius_derived,77,64,0.8311688311688312,,,,,,,,,,,,,,
200,dpa_final_tool_stability,radius_derived,77,64,0.8311688311688312,,,,,,,,,,,,,,
200,dpa_max_target_token_validity_diagnostic,radius_derived,77,65,0.8441558441558441,,,,,,,,,,,,,,
200,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,36,0.4675324675324675,,,,,,,,,,,,,,
200,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,41,36,0.4675324675324675,gurobi,OPTIMAL,41.0,41.0,0.0,1.448430181000731,1,2
200,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,12,65,0.8441558441558441,gurobi,OPTIMAL,12.0,12.0,0.0,0.42624880399671383,1,2
225,aggregate_tpa_final_tool_validity,radius_derived,77,62,0.8051948051948052,,,,,,,,,,,,,,
225,dpa_final_tool_stability,radius_derived,77,62,0.8051948051948052,,,,,,,,,,,,,,
225,dpa_max_target_token_validity_diagnostic,radius_derived,77,62,0.8051948051948052,,,,,,,,,,,,,,
225,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,25,0.3246753246753247,,,,,,,,,,,,,,
225,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,52,25,0.3246753246753247,gurobi,OPTIMAL,52.0,52.0,0.0,1.5002428349980619,1,2
225,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,15,62,0.8051948051948052,gurobi,OPTIMAL,15.0,15.0,0.0,0.46086540499527473,1,2
249,aggregate_tpa_final_tool_validity,radius_derived,77,54,0.7012987012987013,,,,,,,,,,,,,,
249,dpa_final_tool_stability,radius_derived,77,54,0.7012987012987013,,,,,,,,,,,,,,
249,dpa_max_target_token_validity_diagnostic,radius_derived,77,54,0.7012987012987013,,,,,,,,,,,,,,
249,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,11,0.14285714285714285,,,,,,,,,,,,,,
249,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,66,11,0.14285714285714285,gurobi,OPTIMAL,66.0,66.0,0.0,0.6883668250084156,1,2
249,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,23,54,0.7012987012987013,gurobi,OPTIMAL,23.0,23.0,0.0,0.3392450719984481,1,2
