budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_max_target_token_validity,77,77,1.0
1,dpa_max_target_token_validity,77,77,1.0
3,dpa_max_target_token_validity,77,77,1.0
5,dpa_max_target_token_validity,77,77,1.0
7,dpa_max_target_token_validity,77,77,1.0
9,dpa_max_target_token_validity,77,77,1.0
25,dpa_max_target_token_validity,77,76,0.987012987012987
50,dpa_max_target_token_validity,77,75,0.974025974025974
100,dpa_max_target_token_validity,77,70,0.9090909090909091
150,dpa_max_target_token_validity,77,68,0.8831168831168831
200,dpa_max_target_token_validity,77,65,0.8441558441558441
249,dpa_max_target_token_validity,77,54,0.7012987012987013
