budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt,plot_fraction,certified_percent,run_label,run_name,num_retained_prompts,num_total_rows_read,num_rows_filtered_shorter_than_horizon,padding_policy,horizon_filter_basis,family,method_label
4,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,75.0,0.974025974025974,20,,,,,,,,,,,,,,0.974025974025974,97.40259740259741,1B full H=20 top3 diagnostics,1b_full_final_tool_baselines_top3_with_dpa_diagnostics,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA token-grid weakest-token stability diagnostic
4,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,901.0,2.0,75.0,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,2.223735047999071,3.0,2.0,0.974025974025974,97.40259740259741,1B full H=20 top3 diagnostics,1b_full_final_tool_baselines_top3_with_dpa_diagnostics,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
4,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4028840910032158,3.0,2.0,1.0,100.0,1B full H=20 top3 diagnostics,1b_full_final_tool_baselines_top3_with_dpa_diagnostics,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
5,aggregate_tpa_final_tool_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3 diagnostics,1b_full_final_tool_baselines_top3_with_dpa_diagnostics,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
5,dpa_final_tool_stability,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3 diagnostics,1b_full_final_tool_baselines_top3_with_dpa_diagnostics,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
5,dpa_max_target_token_validity_diagnostic,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3 diagnostics,1b_full_final_tool_baselines_top3_with_dpa_diagnostics,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity diagnostic
5,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,75.0,0.974025974025974,20,,,,,,,,,,,,,,0.974025974025974,97.40259740259741,1B full H=20 top3 diagnostics,1b_full_final_tool_baselines_top3_with_dpa_diagnostics,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA token-grid weakest-token stability diagnostic
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,901.0,2.0,75.0,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,2.052898784997524,3.0,2.0,0.974025974025974,97.40259740259741,1B full H=20 top3 diagnostics,1b_full_final_tool_baselines_top3_with_dpa_diagnostics,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4053204569936497,3.0,2.0,1.0,100.0,1B full H=20 top3 diagnostics,1b_full_final_tool_baselines_top3_with_dpa_diagnostics,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
7,aggregate_tpa_final_tool_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top3 diagnostics,1b_full_final_tool_baselines_top3_with_dpa_diagnostics,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
